Row,Date,CO
822,2012-12-05,27
823,2012-12-09,9
824,2012-12-11,3
825,2012-12-12,1
826,2012-12-15,1
827,2012-12-17,1
828,2012-12-18,5
829,2012-12-19,2
830,2012-12-22,54
831,2012-12-23,2
832,2012-12-24,5
833,2012-12-26,2
834,2012-12-29,2
835,2012-12-31,4
836,2013-01-01,4
837,2013-01-02,1
838,2013-01-05,4
839,2013-01-06,6
840,2013-01-07,67
841,2013-01-09,2
842,2013-01-13,2
843,2013-01-14,1
844,2013-01-15,3
845,2013-01-16,35
846,2013-01-21,2
847,2013-01-23,1
848,2013-01-26,3
849,2013-01-27,9
850,2013-01-30,2
851,2013-02-03,1
852,2013-02-04,3
853,2013-02-05,1
854,2013-02-06,3
855,2013-02-09,1
856,2013-02-12,4
857,2013-02-13,4
858,2013-02-16,2
859,2013-02-17,5
860,2013-02-18,71
861,2013-02-19,1
862,2013-02-20,2
863,2013-02-23,3
864,2013-02-24,6
865,2013-02-25,5
866,2013-02-26,4
867,2013-02-27,2
868,2013-03-02,6
869,2013-03-04,3
870,2013-03-05,1
871,2013-03-06,2
872,2013-03-09,2
873,2013-03-10,8
874,2013-03-11,1
875,2013-03-12,10
876,2013-03-13,2
877,2013-03-17,6
878,2013-03-18,2
879,2013-03-27,1
880,2013-04-07,2
881,2013-04-08,3
882,2013-04-09,17
883,2013-04-10,2
884,2013-04-16,1
885,2013-04-20,1
886,2013-04-21,3
887,2013-04-22,1
888,2013-04-23,12
889,2013-04-27,2
890,2013-04-28,2
891,2013-04-30,1
892,2013-05-04,3
893,2013-05-05,4
894,2013-05-06,2
895,2013-05-11,1
896,2013-05-12,1
897,2013-05-13,3
898,2013-05-14,4
899,2013-05-15,1
900,2013-05-18,12
901,2013-05-19,1
902,2013-05-20,4
903,2013-05-21,6
904,2013-05-25,15
905,2013-05-26,2
906,2013-05-27,3
907,2013-05-28,2
908,2013-05-29,4
909,2013-06-01,83
910,2013-06-02,8
911,2013-06-03,6
912,2013-06-08,9
913,2013-06-09,9
914,2013-06-10,3
915,2013-06-11,7
916,2013-06-12,2
917,2013-06-15,13
918,2013-06-16,6
919,2013-06-17,6
920,2013-06-18,7
921,2013-06-19,6
922,2013-06-22,30
923,2013-06-23,2
924,2013-06-25,2
925,2013-06-26,3
926,2013-06-29,3
927,2013-06-30,2
928,2013-07-01,1
929,2013-07-02,3
930,2013-07-03,1
931,2013-07-06,2
932,2013-07-07,5
933,2013-07-08,4
934,2013-07-09,12
935,2013-07-10,1
936,2013-07-13,2
937,2013-07-14,4
938,2013-07-15,11
939,2013-07-17,4
940,2013-07-20,1
941,2013-07-21,8
942,2013-07-23,4
943,2013-07-24,4
944,2013-07-27,4
945,2013-07-28,4
946,2013-07-29,1
947,2013-08-03,9
948,2013-08-04,7
949,2013-08-05,2
950,2013-08-06,1
951,2013-08-07,7
952,2013-08-11,1
953,2013-08-12,7
954,2013-08-13,8
955,2013-08-14,5
956,2013-08-17,1
957,2013-08-18,13
958,2013-08-19,10
959,2013-08-20,1
960,2013-08-21,10
961,2013-08-24,1
962,2013-08-25,8
963,2013-08-26,6
964,2013-08-31,1
965,2013-09-01,16
966,2013-09-03,32
967,2013-09-07,3
968,2013-09-08,2
969,2013-09-09,1
970,2013-09-10,14
971,2013-09-14,2
972,2013-09-15,6
973,2013-09-16,3
974,2013-09-17,1
975,2013-09-18,7
976,2013-09-21,2
977,2013-09-23,1
978,2013-09-24,2
979,2013-09-25,2
980,2013-09-28,2
981,2013-09-29,31
982,2013-09-30,10
983,2013-10-01,13
984,2013-10-02,3
985,2013-10-05,2
986,2013-10-06,2
987,2013-10-07,1
988,2013-10-08,7
989,2013-10-09,4
990,2013-10-12,10
991,2013-10-13,3
992,2013-10-14,3
993,2013-10-19,4
994,2013-10-20,3
995,2013-10-21,2
996,2013-10-22,2
997,2013-10-26,1
998,2013-10-27,13
999,2013-10-28,4
1000,2013-10-29,2
1001,2013-10-30,2
1002,2013-11-02,2
1003,2013-11-03,2
1004,2013-11-04,7
1005,2013-11-05,9
