ROW,Date,CO
774,2016-10-30,15098.00
775,2016-10-31,16598.00
776,2016-11-01,10390.00
777,2016-11-02,31073.00
778,2016-11-03,5689.00
779,2016-11-05,16883.00
780,2016-11-06,24120.00
781,2016-11-07,25460.00
782,2016-11-08,9123.00
783,2016-11-09,16661.00
784,2016-11-10,2116.00
785,2016-11-12,5557.00
786,2016-11-13,22076.00
787,2016-11-14,8748.00
788,2016-11-15,8132.00
789,2016-11-16,49122.00
790,2016-11-17,11645.00
791,2016-11-19,8897.00
792,2016-11-21,6302.00
793,2016-11-22,15911.00
794,2016-11-23,768.00
795,2016-11-24,8863.00
796,2016-11-26,11314.00
797,2016-11-27,11359.00
798,2016-11-29,18772.00
799,2016-12-01,8672.00
800,2016-12-03,15754.00
801,2016-12-04,16481.00
802,2016-12-05,5095.00
803,2016-12-06,9002.00
804,2016-12-07,22489.00
805,2016-12-08,13185.00
806,2016-12-10,13203.00
807,2016-12-11,8029.00
808,2016-12-12,10775.00
809,2016-12-13,11459.00
810,2016-12-14,52124.00
811,2016-12-15,22177.00
812,2016-12-18,11785.00
813,2016-12-19,25718.00
814,2016-12-20,11811.00
815,2016-12-21,7835.00
816,2016-12-22,16797.00
817,2016-12-24,9767.00
818,2016-12-25,61304.00
819,2016-12-26,14630.00
820,2016-12-27,20233.00
821,2016-12-28,13248.00
822,2016-12-29,3713.00
823,2016-12-31,14707.00
824,2017-01-01,18677.00
825,2017-01-02,20311.00
826,2017-01-03,12853.00
827,2017-01-04,9915.00
828,2017-01-05,15202.00
829,2017-01-07,19671.00
830,2017-01-08,11957.00
831,2017-01-09,8314.00
832,2017-01-10,23154.00
833,2017-01-11,12732.00
834,2017-01-12,16791.00
835,2017-01-14,3554.00
836,2017-01-15,13790.00
837,2017-01-16,18182.00
838,2017-01-17,21539.00
839,2017-01-18,4372.00
840,2017-01-19,21630.00
841,2017-01-21,4732.00
842,2017-01-22,16547.00
843,2017-01-23,7818.00
844,2017-01-24,9901.00
845,2017-01-25,22114.00
846,2017-01-26,8673.00
847,2017-01-28,7972.00
848,2017-01-29,15013.00
849,2017-01-30,16224.00
850,2017-01-31,26190.00
851,2017-02-01,13387.00
852,2017-02-02,11560.00
853,2017-02-04,5361.00
854,2017-02-05,12685.00
855,2017-02-06,51373.00
856,2017-02-07,12950.00
857,2017-02-08,18696.00
858,2017-02-09,27223.00
859,2017-02-11,12012.00
860,2017-02-12,13336.00
861,2017-02-13,28524.00
862,2017-02-14,16106.00
863,2017-02-15,19463.00
864,2017-02-16,11239.00
865,2017-02-18,10775.00
866,2017-02-19,12519.00
867,2017-02-20,12849.00
868,2017-02-21,14201.00
869,2017-02-22,6730.00
870,2017-02-23,8546.00
871,2017-02-25,15757.00
872,2017-02-26,9170.00
873,2017-02-27,16798.00
874,2017-02-28,21767.00
875,2017-03-01,24223.00
876,2017-03-04,2396.00
877,2017-03-05,11062.00
878,2017-03-06,15964.00
879,2017-03-07,22589.00
880,2017-03-08,27343.00
881,2017-03-09,12513.00
882,2017-03-11,6669.00
883,2017-03-12,5540.00
884,2017-03-13,4748.00
885,2017-03-14,21338.00
886,2017-03-15,22641.00
887,2017-03-16,9625.00
888,2017-03-18,21293.00
889,2017-03-25,4641.00
890,2017-03-26,4449.00
891,2017-03-27,2404.00
892,2017-03-28,2994.00
893,2017-03-29,855.00
894,2017-03-30,1265.00
895,2017-04-03,924.00
896,2017-04-04,3958.00
897,2017-04-05,10178.00
898,2017-04-06,3316.00
899,2017-04-08,16829.00
900,2017-04-09,13796.00
901,2017-04-10,17772.00
902,2017-04-12,15655.00
903,2017-04-13,19462.00
904,2017-04-15,17211.00
905,2017-04-16,9306.00
906,2017-04-17,13737.00
907,2017-04-18,10711.00
908,2017-04-19,23544.00
909,2017-04-20,5227.00
910,2017-04-22,10920.00
911,2017-04-23,11358.00
912,2017-04-24,18202.00
913,2017-04-26,18487.00
914,2017-04-27,9477.00
915,2017-04-29,20994.00
916,2017-04-30,8961.00
917,2017-05-01,24543.00
918,2017-05-02,2239.00
919,2017-05-03,17937.00
920,2017-05-04,2071.00
921,2017-05-06,5032.00
922,2017-05-07,16297.00
923,2017-05-08,8679.00
924,2017-05-09,18321.00
925,2017-05-10,13838.00
926,2017-05-11,5827.00
927,2017-05-13,14505.00
928,2017-05-14,14242.00
929,2017-05-15,16801.00
930,2017-05-16,22918.00
931,2017-05-17,3213.00
932,2017-05-18,7729.00
933,2017-05-20,4523.00
934,2017-05-21,13588.00
935,2017-05-22,1777.00
936,2017-05-23,1500.00
937,2017-05-24,5456.00
938,2017-05-25,20824.00
939,2017-05-27,8946.00
940,2017-05-28,10841.00
941,2017-05-29,11430.00
942,2017-05-30,11887.00
943,2017-05-31,26672.00
944,2017-06-01,17034.00
945,2017-06-03,8711.00
946,2017-06-06,19441.00
947,2017-06-07,15264.00
948,2017-06-08,20384.00
949,2017-06-10,5673.00
950,2017-06-11,7885.00
951,2017-06-12,6511.00
952,2017-06-13,5697.00
953,2017-06-14,18754.00
954,2017-06-15,7229.00
955,2017-06-17,9579.00
956,2017-06-18,15125.00
957,2017-06-19,13199.00
958,2017-06-20,10436.00
959,2017-06-21,4927.00
960,2017-06-22,9344.00
961,2017-06-24,14222.00
962,2017-06-25,2366.00
963,2017-06-28,3754.00
964,2017-06-29,4319.00
965,2017-07-01,5797.00
966,2017-07-02,7344.00
967,2017-07-03,16355.00
968,2017-07-04,13429.00
969,2017-07-05,8428.00
970,2017-07-06,9783.00
971,2017-07-08,21487.00
972,2017-07-09,10205.00
973,2017-07-10,14025.00
974,2017-07-11,13672.00
975,2017-07-12,14939.00
976,2017-07-13,11554.00
977,2017-07-15,17661.00
978,2017-07-16,10742.00
979,2017-07-17,7882.00
980,2017-07-18,31989.00
981,2017-07-19,9344.00
982,2017-07-22,21308.00
983,2017-07-23,6059.00
984,2017-07-24,6282.00
985,2017-07-25,14104.00
986,2017-07-26,14592.00
987,2017-07-27,10039.00
988,2017-07-29,9503.00
989,2017-07-30,15052.00
990,2017-07-31,4986.00
991,2017-08-01,2386.00
992,2017-08-02,13160.00
993,2017-08-03,2607.00
994,2017-08-05,11641.00
995,2017-08-06,15207.00
996,2017-08-07,14227.00
997,2017-08-08,8783.00
